"occ_code","occ_title","current_employment","annual_openings","projected_growth_pct","annual_mean_wage","median_wage","entry_edu","opportunity_label","opportunity_score"
"27-2022","Coaches and Scouts",248950,41800,6.4,60160,45920,"Bachelor's degree","Moderate Opportunity",89.1
"53-3053","Shuttle Drivers and Chauffeurs",248530,36300,6.7,39880,36670,"No formal educational credential","Moderate Opportunity",88.8
"39-7010","Tour and Travel Guides",53500,13000,8.1,43720,36660,"High school diploma or equivalent","Stable",88.8
"13-1011","Agents and Business Managers of Artists, Performers, and Athletes",12620,2200,8.7,141580,96310,"Bachelor's degree","Stable",88.3
"21-1022","Healthcare Social Workers",187630,18400,7.7,71790,68090,"Master's degree","Stable",88.0
"29-1151","Nurse Anesthetists",51840,2700,8.6,248320,223210,"Master's degree","Stable",87.6
"25-9045","Teaching Assistants, Except Postsecondary",1420350,170400,-1.5,38290,35240,"Some college, no degree","Low Opportunity",87.2
"19-5012","Occupational Health and Safety Technicians",30590,3400,8.5,68120,58440,"High school diploma or equivalent","Stable",87.0
"49-2021","Radio, Cellular, and Tower Equipment Installers and Repairers",11140,1200,8.6,69870,64190,"Associate's degree","Stable",86.7
"15-2041","Statisticians",29030,2000,8.5,115700,103300,"Master's degree","Stable",86.2
"35-1011","Chefs and Head Cooks",200040,24400,7.1,66700,60990,"High school diploma or equivalent","Stable",85.6
"49-9092","Commercial Divers",3450,400,8.5,88320,61130,"Postsecondary nondegree award","Stable",85.2
"39-5092","Manicurists and Pedicurists",152770,24800,7,38570,34660,"Postsecondary nondegree award","Stable",84.9
"49-3023","Automotive Service Technicians and Mechanics",704640,70000,4.2,56420,49670,"Postsecondary nondegree award","Stable",84.0
"43-1011","First-Line Supervisors of Office and Administrative Support Workers",1436680,144500,-0.3,73490,66140,"High school diploma or equivalent","Low Opportunity",83.7
"33-9092","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",157550,42700,5.8,34470,33720,"No formal educational credential","Moderate Opportunity",83.6
"51-3092","Food Batchmakers",174520,24200,6.9,43750,40790,"High school diploma or equivalent","Stable",83.5
"25-1032","Engineering Teachers, Postsecondary",40270,4100,8.1,124520,106120,"Doctoral or professional degree","Stable",83.5
"45-2091","Agricultural Equipment Operators",28500,10500,7.7,43710,42580,"No formal educational credential","Stable",83.3
"49-2091","Avionics Technicians",18830,1800,8.2,83380,81390,"Postsecondary nondegree award","Stable",83.1
"39-9032","Recreation Workers",331490,68100,4.1,38520,35380,"High school diploma or equivalent","Stable",81.9
"39-5091","Makeup Artists, Theatrical and Performance",2340,1100,8.1,102240,50280,"Postsecondary nondegree award","Stable",81.7
"17-3021","Aerospace Engineering and Operations Technologists and Technicians",11280,900,8.1,91310,79830,"Associate's degree","Stable",81.5
"29-1041","Optometrists",42790,2400,8,141550,134830,"Doctoral or professional degree","Stable",81.4
"25-2011","Preschool Teachers, Except Special Education",478780,65500,4.1,43030,37120,"Associate's degree","Stable",80.3
"51-3011","Bakers",236200,39900,5.6,38480,36650,"No formal educational credential","Moderate Opportunity",79.9
"29-2072","Medical Records Specialists",194720,14200,7.1,56790,50250,"Postsecondary nondegree award","Stable",79.5
"29-1292","Dental Hygienists",222740,15300,7,98990,94260,"Associate's degree","Stable",79.2
"17-2071","Electrical Engineers",198750,11700,7.2,125100,111910,"Bachelor's degree","Stable",79.0
"15-1254","Web Developers",70190,5400,7.5,98770,90930,"Bachelor's degree","Stable",78.2
"47-4071","Septic Tank Servicers and Sewer Pipe Cleaners",30650,2900,7.6,53500,49140,"High school diploma or equivalent","Stable",77.7
"43-4171","Receptionists and Information Clerks",910180,128500,0,39460,37230,"High school diploma or equivalent","Low Opportunity",77.1
"39-1022","First-Line Supervisors of Personal Service Workers",114110,16300,6.7,52360,47080,"High school diploma or equivalent","Stable",76.8
"25-1042","Biological Science Teachers, Postsecondary",50190,5400,7.3,102840,83460,"Doctoral or professional degree","Stable",76.2
"17-2061","Computer Hardware Engineers",76660,4700,7.3,162670,155020,"Bachelor's degree","Stable",75.8
"39-5094","Skincare Specialists",72890,14500,6.7,51850,41560,"Postsecondary nondegree award","Stable",75.7
"15-1255","Web and Digital Interface Designers",113330,9100,7,117490,98090,"Bachelor's degree","Stable",75.5
"53-1047","First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",623640,61300,3.7,66860,61890,"High school diploma or equivalent","Stable",73.8
"39-9099","Personal Care and Service Workers, All Other",60420,16100,6.4,40120,37900,"High school diploma or equivalent","Stable",73.7
"51-6011","Laundry and Dry-Cleaning Workers",198040,31900,5.4,34920,33800,"No formal educational credential","Moderate Opportunity",73.1
"35-9099","Food Preparation and Serving Related Workers, All Other",84630,14600,6.4,36810,34830,"No formal educational credential","Stable",72.8
"53-7061","Cleaners of Vehicles and Equipment",380430,56200,3.9,36980,35270,"No formal educational credential","Stable",72.7
"29-2035","Magnetic Resonance Imaging Technologists",43390,2600,7.1,96120,88180,"Associate's degree","Stable",72.6
"51-9193","Cooling and Freezing Equipment Operators and Tenders",6900,800,7.2,44940,40160,"High school diploma or equivalent","Stable",72.5
"49-9051","Electrical Power-Line Installers and Repairers",131070,10700,6.6,91970,92560,"High school diploma or equivalent","Stable",72.4
"51-9111","Packaging and Filling Machine Operators and Tenders",379060,45300,4.5,44590,40900,"High school diploma or equivalent","Stable",72.2
"13-2051","Financial and Investment Analysts",361980,25100,5.7,116800,101350,"Bachelor's degree","Moderate Opportunity",72.1
"41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1238190,114800,0.3,82530,66780,"High school diploma or equivalent","Stable",71.9
"47-2152","Plumbers, Pipefitters, and Steamfitters",465840,44000,4.5,72170,62970,"High school diploma or equivalent","Stable",71.4
"25-4012","Curators",12150,1800,7,71560,61770,"Master's degree","Stable",71.1
"39-1014","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",103190,13400,6.3,53550,46900,"High school diploma or equivalent","Stable",71.0
"29-1291","Acupuncturists",7830,900,6.8,87020,78140,"Master's degree","Stable",68.5
"13-2054","Financial Risk Specialists",63850,4800,6.5,124420,106000,"Bachelor's degree","Stable",67.9
"49-3042","Mobile Heavy Equipment Mechanics, Except Engines",176600,16500,5.8,69240,63980,"High school diploma or equivalent","Stable",67.9
"25-3021","Self-Enrichment Teachers",332110,51400,3.7,54740,45590,"High school diploma or equivalent","Stable",67.8
"49-2097","Audiovisual Equipment Installers and Repairers",19780,2600,6.6,57930,50620,"Postsecondary nondegree award","Stable",67.6
"39-9011","Childcare Workers",518910,160200,-2.9,35030,32050,"High school diploma or equivalent","Low Opportunity",67.1
"31-9097","Phlebotomists",143540,18400,5.6,45520,43660,"Postsecondary nondegree award","Stable",67.0
"53-3099","Motor Vehicle Operators, All Other",46880,11100,6,42430,36260,"No formal educational credential","Stable",66.7
"47-2181","Roofers",135490,12700,5.9,58140,50970,"No formal educational credential","Stable",66.6
"39-3093","Locker Room, Coatroom, and Dressing Room Attendants",15560,4200,6.4,38460,34800,"High school diploma or equivalent","Stable",66.5
"49-3093","Tire Repairers and Changers",108410,15300,5.7,40170,37120,"High school diploma or equivalent","Stable",66.2
"51-3022","Meat, Poultry, and Fish Cutters and Trimmers",145700,18400,5.5,39280,37700,"No formal educational credential","Stable",66.0
"19-1012","Food Scientists and Technologists",13060,1200,6.5,95360,85310,"Bachelor's degree","Stable",65.7
"17-2072","Electronics Engineers, Except Computer",96900,5700,6.2,137280,127590,"Bachelor's degree","Stable",65.4
"51-9195","Molders, Shapers, and Casters, Except Metal and Plastic",33190,5500,6.2,47500,45690,"High school diploma or equivalent","Stable",65.3
"41-3021","Insurance Sales Agents",479100,47000,3.7,81480,60370,"High school diploma or equivalent","Stable",65.2
"27-3031","Public Relations Specialists",283380,27600,4.8,84120,69780,"Bachelor's degree","Stable",64.6
"17-1021","Cartographers and Photogrammetrists",14260,1000,6.4,86690,78380,"Bachelor's degree","Stable",64.6
"29-1213","Dermatologists",11370,400,6.4,323530,NULL,"Doctoral or professional degree","Stable",64.2
"17-2051","Civil Engineers",367840,23600,5,108670,99590,"Bachelor's degree","Stable",64.2
"51-2028","Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",246970,29600,4.6,47660,44040,"High school diploma or equivalent","Stable",63.8
"17-2011","Aerospace Engineers",67710,4500,6.1,142060,134830,"Bachelor's degree","Stable",63.7
"43-4081","Hotel, Motel, and Resort Desk Clerks",261420,43600,3.7,35550,34270,"High school diploma or equivalent","Stable",63.2
"33-3051","Police and Sheriff's Patrol Officers",670520,53700,3.1,79200,76290,"High school diploma or equivalent","Stable",63.2
"19-3032","Industrial-Organizational Psychologists",790,400,6.3,170230,109840,"Master's degree","Stable",63.2
"27-2099","Entertainers and Performers, Sports and Related Workers, All Other",16550,4400,6,NULL,NULL,"No formal educational credential","Stable",62.6
"49-1011","First-Line Supervisors of Mechanics, Installers, and Repairers",617500,52400,3.1,85220,78300,"High school diploma or equivalent","Stable",62.4
"33-9021","Private Detectives and Investigators",35580,3900,6,60150,52370,"High school diploma or equivalent","Stable",62.3
"25-1011","Business Teachers, Postsecondary",82150,8100,5.7,114720,97270,"Doctoral or professional degree","Stable",61.9
"35-2012","Cooks, Institution and Cafeteria",441050,69700,2,38810,36450,"No formal educational credential","Stable",61.8
"49-3051","Motorboat Mechanics and Service Technicians",23220,2600,6,58070,54950,"High school diploma or equivalent","Stable",61.6
"29-1223","Psychiatrists",27980,900,6.1,269940,NULL,"Doctoral or professional degree","Stable",61.5
"27-2032","Choreographers",2860,700,6.1,73100,55600,"High school diploma or equivalent","Stable",61.4
"49-2093","Electrical and Electronics Installers and Repairers, Transportation Equipment",6940,600,6.1,83300,82730,"Postsecondary nondegree award","Stable",61.4
"47-2073","Operating Engineers and Other Construction Equipment Operators",478090,41900,3.6,66290,58710,"High school diploma or equivalent","Stable",61.1
"13-1074","Farm Labor Contractors",310,300,6,58470,48690,"No formal educational credential","Stable",60.2
"29-2099","Health Technologists and Technicians, All Other",182610,13600,5.2,58710,48790,"Postsecondary nondegree award","Stable",60.2
"39-3092","Costume Attendants",6510,1800,5.9,63440,54810,"High school diploma or equivalent","Stable",60.1
"23-1011","Lawyers",754500,31500,4.1,185840,151160,"Doctoral or professional degree","Stable",59.9
"27-2023","Umpires, Referees, and Other Sports Officials",15780,4600,5.7,53010,38820,"High school diploma or equivalent","Stable",59.8
"19-1021","Biochemists and Biophysicists",33830,2900,5.8,129840,103650,"Doctoral or professional degree","Stable",59.7
"29-2042","Emergency Medical Technicians",180510,14100,5.1,46830,41340,"Postsecondary nondegree award","Stable",59.5
"41-2021","Counter and Rental Clerks",400810,45900,3.2,45700,38540,"No formal educational credential","Stable",59.5
"49-9095","Manufactured Building and Mobile Home Installers",3020,300,5.9,45410,41080,"High school diploma or equivalent","Stable",59.2
"17-2021","Agricultural Engineers",1480,100,5.9,108230,84630,"Bachelor's degree","Stable",59.1
"35-3041","Food Servers, Nonrestaurant",293900,48000,3,36140,34460,"No formal educational credential","Stable",58.8
"29-1031","Dietitians and Nutritionists",77570,6200,5.5,77130,73850,"Bachelor's degree","Stable",58.7
"29-2061","Licensed Practical and Licensed Vocational Nurses",648410,54400,2.6,67050,62340,"Postsecondary nondegree award","Stable",58.6
"17-2121","Marine Engineers and Naval Architects",8250,600,5.8,124180,105670,"Bachelor's degree","Stable",58.4
"13-1141","Compensation, Benefits, and Job Analysis Specialists",112380,8500,5.3,84330,77020,"Bachelor's degree","Stable",58.1
"19-1011","Animal Scientists",3100,200,5.8,88350,79120,"Bachelor's degree","Stable",58.1
"41-9031","Sales Engineers",51790,5000,5.5,130140,121520,"Bachelor's degree","Stable",58.0
"17-2131","Materials Engineers",22770,1500,5.7,120250,108310,"Bachelor's degree","Stable",57.9
"47-3016","Helpers--Roofers",6030,600,5.7,45150,40590,"No formal educational credential","Stable",57.4
"13-1121","Meeting, Convention, and Event Planners",142860,15500,4.8,66520,59440,"Bachelor's degree","Stable",57.3
"35-2019","Cooks, All Other",19350,3700,5.5,39150,36210,"No formal educational credential","Stable",57.2
"37-2021","Pest Control Workers",102620,13400,4.9,46400,44730,"High school diploma or equivalent","Stable",57.0
"51-3099","Food Processing Workers, All Other",65000,6500,5.3,40300,38420,"No formal educational credential","Stable",56.9
"53-7051","Industrial Truck and Tractor Operators",774420,76400,1.1,48370,46390,"No formal educational credential","Stable",56.8
"27-2012","Producers and Directors",143120,12800,4.9,113300,83480,"Bachelor's degree","Stable",56.7
"39-5093","Shampooers",8070,2700,5.5,31980,31470,"No formal educational credential","Stable",56.6
"27-2021","Athletes and Sports Competitors",15070,2100,5.5,206180,62360,"No formal educational credential","Stable",56.3
"11-1011","Chief Executives",204350,22200,4.3,269630,206420,"Bachelor's degree","Stable",56.3
"49-2095","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",20720,2000,5.5,100760,100940,"Postsecondary nondegree award","Stable",56.2
"41-3031","Securities, Commodities, and Financial Services Sales Agents",489570,38100,3.3,109150,78140,"Bachelor's degree","Stable",55.9
"53-3052","Bus Drivers, Transit and Intercity",159240,20900,4.3,60280,57440,"High school diploma or equivalent","Stable",55.5
"39-2011","Animal Trainers",18770,7100,5.1,47020,38750,"High school diploma or equivalent","Stable",55.3
"25-1021","Computer Science Teachers, Postsecondary",35480,3500,5.3,104420,96690,"Doctoral or professional degree","Stable",55.1
"25-4013","Museum Technicians and Conservators",12310,1900,5.4,57410,47460,"Bachelor's degree","Stable",55.1
"21-1021","Child, Family, and School Social Workers",392550,35100,3.4,64000,58570,"Bachelor's degree","Stable",55.1
"19-1013","Soil and Plant Scientists",15730,1700,5.4,87720,71410,"Bachelor's degree","Stable",55.0
"53-2012","Commercial Pilots",47630,6600,5.1,146080,122670,"Postsecondary nondegree award","Stable",55.0
"47-2141","Painters, Construction and Maintenance",225190,28100,3.8,55420,48660,"No formal educational credential","Stable",54.9
"35-2021","Food Preparation Workers",893600,148000,-3.4,35290,34220,"No formal educational credential","Low Opportunity",54.8
"29-1051","Pharmacists",321970,14200,4.6,140920,137480,"Doctoral or professional degree","Stable",54.5
"29-1217","Neurologists",10590,300,5.4,267630,NULL,"Doctoral or professional degree","Stable",54.2
"35-2013","Cooks, Private Household",1100,5300,5.1,53680,44530,"Postsecondary nondegree award","Stable",54.2
"49-3052","Motorcycle Mechanics",13510,1500,5.3,52370,47200,"Postsecondary nondegree award","Stable",53.9
"21-1099","Community and Social Service Specialists, All Other",107730,13100,4.6,59590,54940,"Bachelor's degree","Stable",53.9
"53-6032","Aircraft Service Attendants",31300,4300,5.1,43330,41540,"High school diploma or equivalent","Stable",53.6
"21-1012","Educational, Guidance, and Career Counselors and Advisors",353310,31000,3.5,71430,65140,"Master's degree","Stable",53.6
"47-2142","Paperhangers",1570,200,5.3,53730,48260,"No formal educational credential","Stable",53.1
"41-9022","Real Estate Sales Agents",193370,36600,3.1,69510,56320,"High school diploma or equivalent","Stable",53.0
"29-2043","Paramedics",100610,4900,5,63360,58410,"Postsecondary nondegree award","Stable",52.9
"19-2031","Chemists",82770,6300,4.9,100450,84150,"Bachelor's degree","Stable",52.8
"17-2031","Bioengineers and Biomedical Engineers",23480,1300,5.2,116890,106950,"Bachelor's degree","Stable",52.8
"25-3031","Substitute Teachers, Short-Term",524770,61100,1.6,46420,38470,"Bachelor's degree","Stable",52.7
"53-1041","Aircraft Cargo Handling Supervisors",9760,1100,5.2,65010,63940,"High school diploma or equivalent","Stable",52.7
"51-1011","First-Line Supervisors of Production and Operating Workers",673430,67700,1.2,76600,71190,"High school diploma or equivalent","Stable",52.6
"29-9093","Surgical Assistants",22270,1600,5.1,72710,60290,"Postsecondary nondegree award","Stable",52.0
"47-3015","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",44330,4900,4.9,43730,39270,"High school diploma or equivalent","Stable",51.9
"47-4021","Elevator and Escalator Installers and Repairers",23790,2000,5,109820,106580,"High school diploma or equivalent","Stable",51.2
"13-2082","Tax Preparers",76480,10400,4.5,60930,50560,"High school diploma or equivalent","Stable",51.2
"29-2034","Radiologic Technologists and Technicians",230490,12900,4.3,83840,77660,"Associate's degree","Stable",50.7
"33-2011","Firefighters",345990,27100,3.4,63630,59530,"Postsecondary nondegree award","Stable",50.3
"13-1041","Compliance Officers",417070,33300,3,88400,78420,"Bachelor's degree","Stable",50.0
"19-4013","Food Science Technicians",14600,3200,4.8,56660,49430,"Associate's degree","Stable",49.9
"21-1091","Health Education Specialists",65690,7900,4.5,73280,63000,"Bachelor's degree","Stable",49.7
"17-3031","Surveying and Mapping Technicians",58010,7600,4.5,58000,51940,"High school diploma or equivalent","Stable",49.6
"35-9031","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",432690,107700,-1.5,32690,30380,"No formal educational credential","Low Opportunity",49.6
"53-6061","Passenger Attendants",27110,4100,4.7,37820,37560,"High school diploma or equivalent","Stable",49.5
"27-1011","Art Directors",53070,12300,4.2,129440,111040,"Bachelor's degree","Stable",49.4
"19-2032","Materials Scientists",8470,600,4.9,126180,104160,"Bachelor's degree","Stable",49.4
"51-4121","Welders, Cutters, Solderers, and Brazers",416210,45600,2.2,56760,51000,"High school diploma or equivalent","Stable",49.4
"29-2055","Surgical Technologists",117460,7000,4.5,68710,62830,"Postsecondary nondegree award","Stable",49.2
"13-1131","Fundraisers",111040,10200,4.3,77200,66490,"Bachelor's degree","Stable",49.1
"19-2041","Environmental Scientists and Specialists, Including Health",89250,8500,4.4,91680,80060,"Bachelor's degree","Stable",49.1
"41-2022","Parts Salespersons",270070,30200,3.1,43830,37440,"No formal educational credential","Stable",49.1
"47-2132","Insulation Workers, Mechanical",25660,2300,4.7,65530,57250,"High school diploma or equivalent","Stable",48.4
"39-9041","Residential Advisors",84760,17400,3.8,43990,39180,"High school diploma or equivalent","Stable",48.4
"35-9021","Dishwashers",477450,76800,0.2,34310,33670,"No formal educational credential","Stable",48.1
"17-3028","Calibration Technologists and Technicians",16540,1400,4.7,74170,65040,"Associate's degree","Stable",47.8
"47-4031","Fence Erectors",24480,2300,4.6,50530,46940,"No formal educational credential","Stable",47.4
"47-2221","Structural Iron and Steel Workers",68380,5500,4.4,70280,62700,"High school diploma or equivalent","Stable",47.3
"19-4061","Social Science Research Assistants",30640,5200,4.4,66140,58040,"Bachelor's degree","Stable",47.1
"17-3011","Architectural and Civil Drafters",103700,10000,4.1,70740,64280,"Associate's degree","Stable",47.0
"47-2171","Reinforcing Iron and Rebar Workers",13800,1500,4.6,66060,59280,"High school diploma or equivalent","Stable",46.9
"49-3011","Aircraft Mechanics and Service Technicians",138090,11300,4,84740,78680,"Postsecondary nondegree award","Stable",46.8
"33-9091","Crossing Guards and Flaggers",94360,18000,3.6,43350,37700,"No formal educational credential","Stable",46.8
"47-2081","Drywall and Ceiling Tile Installers",83080,7700,4.2,63600,58140,"No formal educational credential","Stable",46.6
"47-3012","Helpers--Carpenters",21680,2700,4.5,44050,41600,"No formal educational credential","Stable",46.6
"41-9099","Sales and Related Workers, All Other",93180,16000,3.7,58510,46370,"High school diploma or equivalent","Stable",46.6
"17-1022","Surveyors",50830,3900,4.4,80570,72740,"Bachelor's degree","Stable",46.3
"27-2031","Dancers",8130,1800,4.5,NULL,NULL,"No formal educational credential","Stable",46.1
"39-5011","Barbers",15000,8400,4.1,47070,38960,"Postsecondary nondegree award","Stable",46.0
"53-2011","Airline Pilots, Copilots, and Flight Engineers",103560,11700,3.9,288650,226600,"Bachelor's degree","Stable",46.0
"25-9044","Teaching Assistants, Postsecondary",164090,24600,3.1,47670,44930,"Bachelor's degree","Stable",45.8
"47-3019","Helpers, Construction Trades, All Other",24770,2800,4.4,45140,40760,"No formal educational credential","Stable",45.7
"19-3039","Psychologists, All Other",18820,3900,4.3,111210,117580,"Master's degree","Stable",45.3
"29-1024","Prosthodontists",870,0,4.5,268630,NULL,"Doctoral or professional degree","Stable",45.0
"17-2111","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",21450,1500,4.4,119770,109660,"Bachelor's degree","Stable",44.9
"53-7199","Material Moving Workers, All Other",23480,3100,4.3,45640,41690,"No formal educational credential","Stable",44.9
"37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers",178760,33000,2.5,53320,47520,"High school diploma or equivalent","Stable",44.8
"19-4012","Agricultural Technicians",15130,2900,4.3,53840,46790,"Associate's degree","Stable",44.7
"27-1026","Merchandise Displayers and Window Trimmers",165220,20800,3.2,42830,37350,"High school diploma or equivalent","Stable",44.5
"47-5051","Rock Splitters, Quarry",3320,400,4.4,51500,47460,"No formal educational credential","Stable",44.2
"29-1023","Orthodontists",6210,200,4.4,259400,NULL,"Doctoral or professional degree","Stable",44.1
